88.wav,"जाना कबूल था। हमने कभी दाने-चारे की शिकायत नहीं की। तुमने जो कुछ खिलाया,"
305.wav,"‘हमें तो डर लगता है, हम यहीं पड़े रहेंगे।’"
26.wav,दो बैलों की कथा के माध्यम से प्रेमचंद ने कृषक समाज और पशुओं के भावात्मक
98.wav,उन्हें तोड़ सकेगा_ पर इन दोनों में इस समय दूनी शक्ति आ गई थी। एक-एक झटके
205.wav,"के किनारे खड़े होकर सोचने लगे, अब क्या करना चाहिए।"
227.wav,‘भागना कायरता है।’
151.wav,हीरा ने मूक-भाषा में कहाμभागना व्यर्थ है।
374.wav,‘तुम्हारे बैल कैसे? मैं मवेशीखाने से नीलाम लिए आता हूँ।’
253.wav,"पड़े और दोनों मित्रें को घेर लिया। हीरा तो मेड़ पर था, निकल गया। मोती सींचे हुए"
191.wav,हाथ चाटने लगे। दोनों की पूँछें खड़ी हो गईं। उसने उनके माथे सहलाए और बोलीμ
63.wav,झूरी काछी के दोनों बैलों के नाम थे हीरा और मोती। दोनाें पछाईं जाति के
74.wav,"चलते, उस वक्त हर एक की यही चेष्टा होती थी कि ज्यादा-से-ज्यादा बोझ मेरी ही"
65.wav,में भाईचारा हो गया था। दोनों आमने-सामने या आस-पास बैठे हुए एक-दूसरे से
259.wav,4
285.wav,"मोती ने पड़े-पड़े कहाμआखिर मार खाई, क्या मिला?"
79.wav,"संयोग की बात, झूरी ने एक बार गोईं को ससुराल भेज दिया। बैलों को क्या मालूम,"
379.wav,दढ़ियल झल्लाकर बैलों को जबरदस्ती पकड़ ले जाने के लिए बढ़ा। उसी वक्त
339.wav,"मोती ने अश्रद्धा के भाव से उत्तर दियाμकहते हैं, भगवान सबके ऊपर दया करते"
296.wav,किसी प्रतिद्वंद्वी से लड़ रहा है। आखिर कोई दो घंटे की जोर-आजमाई के बाद दीवार
81.wav,प्रेमचंद /7
52.wav,दो बैलों की कथा
267.wav,"रात को भी जब कुछ भोजन न मिला, तो हीरा के दिल में विद्रोह की ज्वाला"
146.wav,"दूसरे दिन गया ने बैलों को हल में जोता, पर इन दोनों ने जैसे पाँव न उठाने की"
236.wav,"पर झपटा, मोती ने पीछे से दौड़ाया। साँड उसकी तरप़्"
271.wav,‘इतनी जल्द हिम्मत न हारो भाई! यहाँ से भागने का कोई उपाय निकालना
218.wav,"अरे! यह क्या? कोई साँड डौंकता चला आ रहा है। हाँ, साँड ही है। वह सामने आ"
354.wav,उनके दो भाई बधिक के हाथ पड़े कैसे दुखी हैं।
125.wav,वही हुआ। मजूर को कड़ी ताकीद कर दी गई कि बैलों को खाली सूखा भूसा
248.wav,‘यह सब ढोंग है। बैरी को ऐसा मारना चाहिए कि फिर न उठे।’
152.wav,मोती ने उत्तर दियाμतुम्हारी तो इसने जान ही ले ली थी।
177.wav,"एक दिन मोती ने मूक-भाषा में कहाμअब तो नहीं सहा जाता, हीरा!"
222.wav,भी रहा है। कितनी भयंकर सूरत है!
397.wav,सारे गाँव में उछाह-सा मालूम होता था।
92.wav,"जिसे उन्होंने अपना घर समझ रखा था, वह आज उनसे छूट गया था। यह नया घर,"
257.wav,पकड़ लिया।
49.wav,"बचाकर रखते हैं, जी तोड़कर काम करते हैं, किसी से लड़ाई-झगड़ा नहीं करते, चार"
35.wav,"शफ़ है, या उसके सीधेपन, उसकी निरापद सहिष्णुता ने उसे यह पदवी दे दी है,"
19.wav,नहीं पशु-पक्षियों को भी अद्भुत आत्मीयता मिली है। बड़ी से बड़ी बात को
298.wav,दीवार गिर पड़ी।
17.wav,रचनाओं के मूल विषय हैं।
150.wav,"हो गया। गले में बड़ी-बड़ी रस्सियाँ न होतीं, तो दोनों पकड़ाई में न आते।"
202.wav,आदमियों को भी साथ लेने के लिए लौटा। दोनों मित्रें को भागने का मौका मिल
237.wav,"शफ़ मुड़ा, तो हीरा ने रगेदा। साँड"
284.wav,रस्सी से बाँध दिया।
266.wav,"दोनों ने दीवार की नमकीन मि‘ी चाटनी शुरू की, पर इससे क्या तृप्ति होती?"
260.wav,दोनों मित्रें को जीवन में पहली बार ऐसा साबिका पड़ा कि सारा दिन बीत गया और
116.wav,झूरी अपने बैलों पर यह आक्षेप न सुन सकाμनमकहराम क्यों हैं? चारा-दाना न
235.wav,का तजरबा न था। वह तो एक शत्रु से मल्लयुद्ध करने का आदी था। ज्यों ही हीरा
76.wav,चाट-चूटकर अपनी थकान मिटा लिया करते। नाँद में खली-भूसा पड़ जाने के बाद
350.wav,जमा देता था।
42.wav,"उसके चेहरे पर एक स्थायी विषाद स्थायी रूप से छाया रहता है। सुख-दुख,"
290.wav,"‘कुछ परवाह नहीं। यों भी तो मरना ही है। सोचो, दीवार खुद जाती, तो कितनी"
333.wav,"सहसा एक दढ़ियल आदमी, जिसकी आँखें लाल थीं और मुद्रा अत्यंत कठोर,"
70.wav,"थेμविग्रह के नाते से नहीं, केवल विनोद के भाव से, आत्मीयता के भाव से, जैसे"
50.wav,"बातें सुनकर गम खा जाते हैं फिर भी बदनाम हैं। कहा जाता है, वे जीवन के आदर्श"
332.wav,प्रेमचंद /17
140.wav,शरारत का मजा चखाया। फिर वही सूखा भूसा डाल दिया। अपने दोनों बैलों को
187.wav,जाती है।’
91.wav,"जब नाँद में लगाए गए, तो एक ने भी उसमें मुँह न डाला। दिल भारी हो रहा था।"
51.wav,"को नीचा करते हैं। अगर वे भी ईंट का जवाब पत्थर से देना सीख जाते, तो शायद"
2.wav,प्रेमचंद का जन्म सन् 1880 में बनारस के लमही गाँव में हुआ था। उनका
